TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Aug 16, 2026 11:42:48 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:48.130154Z   170 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:47.673826Z   169 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:47.315243Z   168 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:43 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:42.988332Z   164 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:42 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:42.250958Z   162 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:41 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:42:41.425531Z   160 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:42:41 PM",corp-na01-bp123na,root,64.89.163.90,LogonFailure,2026-08-17T05:42:41.152644Z   159 Connect Access denied for user 'root'@'64.89.163.90' (using password: NO)
"Aug 16, 2026 11:41:24 PM",corp-na01-bp123na,root,64.89.163.90,LogonSuccess,2026-08-17T05:41:24.756509Z   158 Connect root@64.89.163.90 on  using TCP/IP
"Aug 16, 2026 11:41:24 PM",corp-na01-bp123na,root,64.89.163.90,LogonFailure,2026-08-17T05:41:24.478890Z   157 Connect Access denied for user 'root'@'64.89.163.90' (using password: NO)
"Aug 16, 2026 11:10:38 PM",corp-na01-bp123na,root,68.178.163.174,LogonFailure,2026-08-17T05:10:38.438264Z   155 Connect Access denied for user 'root'@'68.178.163.174' (using password: YES)
"Aug 16, 2026 11:10:37 PM",corp-na01-bp123na,root,68.178.163.174,LogonFailure,2026-08-17T05:10:37.281011Z   154 Connect Access denied for user 'root'@'68.178.163.174' (using password: YES)
"Aug 16, 2026 11:10:36 PM",corp-na01-bp123na,root,68.178.163.174,LogonFailure,2026-08-17T05:10:36.137236Z   153 Connect Access denied for user 'root'@'68.178.163.174' (using password: YES)
"Aug 16, 2026 11:10:35 PM",corp-na01-bp123na,root,68.178.163.174,LogonFailure,2026-08-17T05:10:34.991931Z   152 Connect Access denied for user 'root'@'68.178.163.174' (using password: YES)
"Aug 16, 2026 11:10:34 PM",corp-na01-bp123na,root,68.178.163.174,LogonFailure,2026-08-17T05:10:33.846005Z   151 Connect Access denied for user 'root'@'68.178.163.174' (using password: YES)
